image,output,flag,username,timestamp
C:\Users\User\Desktop\X-Boson\Plant-Classifier-Models\flagged\image\35f07ed2a53345638761aacd016d4d5e588274e4\tmpszw8ugb4.jpg,"['paddy (46.02%)', 'waterapple (42.59%)', 'pineapple (9.62%)', 'aloevera (0.65%)', 'banana (0.37%)']",,,2023-09-28 11:39:47.621630
C:\Users\User\Desktop\X-Boson\Plant-Classifier-Models\flagged\image\25aaf7aada5249475ea1bb777fd7705f5e30ec04\tmp5vcylane.jpg,C:\Users\User\Desktop\X-Boson\Plant-Classifier-Models\flagged\output\tmp7vixdce5.json,,,2023-09-28 11:54:25.812360
